OBJECTID,DSN,NAME,LABEL,STATUS,X_COORD,Y_COORD,LATITUDE,LONGITUDE,TYPE,OUTFALL_OWNERSHIP,x,y
1,027b,Mercer/Elliott West CSO Plant Outfall,Elliott West,,1263450,229000,47.61753,-122.3618881,3,,1263449.99991889,229000.000130564
2,046,Carkeek CSO Plant Outfall,Carkeek Plant,,1257815,263774,47.7125347,-122.3875797,3,,1257814.73100573,263774.304925635
3,051,Alki CSO Plant Outfall,Alki CSO Plant,,1248149,212058,47.5702435,-122.4224961,3,,1248149.00000913,212057.968069807
4,044b,Henderson/Norfolk CSO System Outfall,Henderson/MLK,,1278630,190172,47.5119131,-122.2973565,3,,1278629.74022864,190172.178180054
5,018,Matthews Park Pump Station,Matthews Park,Controlled,1286169,258060,47.6983825,-122.2719884,1,King County,1286169.37508371,258059.655921891
6,014,Montlake Regulator Station,Montlake,Uncontrolled,1277719,239514,47.6471103,-122.3048604,1,King County,1277718.52289097,239513.758958638
7,048a,North Beach Pump Station Wet Well,North Beach,Controlled,1256581,260717,47.7040853,-122.3923374,1,King County,1256581.28662223,260716.54463698
8,003,Ballard Siphon,Ballard Siphon ,Controlled,1258749,246017,47.6639157,-122.3823332,1,King County,1258749.1251343,246017.281056553
9,032,Hanford #2 Regulator Station,Hanford #2,Uncontrolled,1267873,214207,47.5772235,-122.3427804,1,King County,1267873.31095414,214207.386999309
10,027a,Denny Way Regulator Station,Denny Way,Monitoring,1263720,229217,47.6181395,-122.360811,1,King County,1263720.00003505,229217.000024647
11,013,Martin Luther King Junior Way,MLK Way,Controlled,1287228,194161,47.5232908,-122.2628703,1,City of Seattle,1287227.99993497,194161.421841979
12,038,Terminal 115,Terminal 115,Uncontrolled,1268208,203622,47.5482268,-122.3405827,1,City of Seattle,1268208.4999163,203621.812369972
13,029,Kingdome Regulator Station,Kingdome,Uncontrolled,1268125,219744,47.5924119,-122.3421998,1,City of Seattle,1268125.20382306,219743.732553899
14,011,East Pine Street Pump Station,E Pine St,Controlled,1283635,227657,47.6149176,-122.2799588,1,City of Seattle,1283634.76138656,227656.687856555
15,039,South Michigan Street Regulator Station,Michigan,Uncontrolled,1269562,201882,47.5435303,-122.3349666,1,King County,1269561.77214414,201881.914931148
16,048b,North Beach Pump Station Inlet,North Beach,Controlled,1256971,259990,47.7021142,-122.3906957,1,City of Seattle,1256970.87508188,259989.515907302
17,055,Southwest Alaska Street,SW Alaska St,Controlled,1251834,208086,47.5595645,-122.4072437,1,City of Seattle,1251833.70983131,208086.072798386
18,056,Murray Street Pump Station,Murray St,Controlled,1253478,201015,47.5402752,-122.4000025,1,King County,1253477.99984981,201014.999998316
19,057,Barton Street Pump Station,Barton St,Monitoring,1254248,195020,47.5238863,-122.3963928,1,King County,1254247.99995022,195019.99984923
20,006,South Magnolia,S Magnolia,Monitoring,1254388,233799,47.6301842,-122.3990212,1,City of Seattle,1254387.51607539,233798.947881728
21,028,King Street Regulator Station,King St,Uncontrolled,1269350,222124,47.5990031,-122.3374249,1,City of Seattle,1269350.18693739,222124.447936803
22,034,East Duwamish Pump Station,E Duwamish,Controlled,1267156,209027,47.5629855,-122.3452719,1,King County,1267156.4331228,209026.945916638
23,042,West Michigan Street Regulator Station,W Michigan,Uncontrolled,1269541,201164,47.5415614,-122.334994,1,King County,1269540.99987598,201164.000028387
24,043,East Marginal Way Pump Station,E Marginal,Controlled,1273585,199439,47.5370481,-122.3184898,1,King County,1273584.8749903,199438.906037644
25,040,8th Avenue South,8th Ave S,Controlled,1272536,198218,47.5336474,-122.322639,1,King County,1272536.14185156,198218.479016557
26,035,West Duwamish,W Duwamish,Controlled,1266422,209128,47.5632235,-122.3482557,1,King County,1266421.62488113,209128.249847889
27,052,53rd Avenue Southwest Pump Station,53rd Ave SW,Controlled,1253180,217265,47.5847987,-122.4025517,1,King County,1253179.63102397,217265.087904885
28,054,63rd Avenue Southwest,63rd Ave SW,Monitoring,1249676,211944,47.5700163,-122.4163005,1,King County,1249676.40705931,211943.610030815
29,012,Belvoir Pump Station,Belvoir,Monitoring,1282041,242929,47.6566974,-122.2875891,1,King County,1282041.09003322,242929.24589406
30,015,University Regulator Station,University,Uncontrolled,1276145,240207,47.6489287,-122.311296,1,King County,1276145.22584072,240207.328109562
31,009,Dexter Avenue Regulator Station,Dexter Ave,Controlled,1269141,234267,47.6322731,-122.3392346,1,King County,1269141.22803771,234266.602130145
32,007,Canal Street,Canal St,Controlled,1264669,241468,47.6517709,-122.3579465,1,King County,1264669.37641715,241468.137595803
33,008,3rd Avenue West,3rd Ave W,Uncontrolled,1264153,241592,47.6520829,-122.3600514,1,King County,1264152.92797497,241592.227898806
34,004,11th Avenue Northwest,Ballard E/11th Ave NW,Uncontrolled,1261565,244347,47.6594914,-122.3707742,1,King County,1261564.60900463,244346.645946398
35,041,Brandon Street Regulator Station,Brandon St,Uncontrolled,1268195,205978,47.5546836,-122.3408257,1,King County,1268194.63281806,205977.751227647
36,030,Lander Street Regulator Station,Lander St,Uncontrolled,1267850,215759,47.5814757,-122.3429974,1,City of Seattle,1267850.17287706,215759.202137142
37,036,Chelan Avenue Regulator Station,Chelan Ave,Uncontrolled,1264182,212981,47.5736612,-122.3576352,1,King County,1264181.77667056,212980.500345483
38,033,Rainier Avenue Pump Station,Rainier Ave,Controlled,1284425,211762,47.5713902,-122.2755492,1,City of Seattle,1284424.62496431,211761.781326219
39,045,Henderson Street Pump Station,Henderson St,Controlled,1287228,194161,47.5232908,-122.2628703,1,City of Seattle,1287227.99993497,194161.421841979
40,049,30th Avenue Northeast,30th Ave NE,Controlled,1282041,242929,47.6566974,-122.2875891,1,King County,1282041.09003322,242929.24589406
41,031,Hanford #1,Hanford #1,Monitoring,1267147,209085,47.5631436,-122.3453143,1,City of Seattle,1267147.11063489,209084.830971479
42,037,Harbor Avenue Regulator Station,Harbor Ave,Monitoring,1263304,213002,47.573672,-122.3611918,1,King County,1263304.09666739,213001.861195147
43,044a,Norfolk Street,Norfolk St,Controlled,1278630,190172,47.5119131,-122.2973565,1,City of Tukwila,1278629.74022864,190172.178180054
44,058,Georgetown Wet Weather Treatment Outfall,Georgetown,Controlled,,,,,1,King County,1269587.52012414,201597.318715557
